Reference,Habitat.Type,Management.Method,Management.Intensity,Duration.of.treatment..years.,Years.since.Treatment..if.applicable.,Significant.,Alpha,Management.Effect.Type,Ecosystem.element.assessed..soil.plant.microbe.fungi.fauna.,Endpoint,Measurement.Unit,Endpoint.Modifier,Magnitude.or.degree.of.change,Magnitude.or.degree.of.change..text.,Response..Measurement,Response.Number.of.Observations,Response.Standard.Deviation,Control.Reference.Measurement,Control.Number.of.Observations,Control.Standard.Deviation,general.area,Location
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,CEC,ueq/g dw,10 cm - 20 cm,24.32%,Increase,46,14,9,37,4,22,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,exchangeable acidity,ueq/g dw,humus,-51.28%,Decrease,38,14,31,78,4,29,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,exchangeable acidity,ueq/g dw,0 cm - 5 cm,-44.83%,Decrease,32,14,15,58,4,20,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,exchangeable acidity,ueq/g dw,5 cm - 10 cm,-28.85%,Decrease,37,14,13,52,4,14,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,exchangeable acidity,ueq/g dw,10 cm - 20 cm,2.78%,Increase,37,14,11,36,4,10,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Al,ueq/g dw,humus,-50.00%,Decrease,12,14,17,24,4,22,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Al,ueq/g dw,0 cm - 5 cm,-44.83%,Decrease,16,14,11,29,4,15,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Al,ueq/g dw,5 cm - 10 cm,-19.23%,Decrease,21,14,11,26,4,11,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Al,ueq/g dw,10 cm - 20 cm,22.22%,Increase,22,14,9,18,4,10,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,pH,,humus,20.00%,Increase,4.8,14,0.5,4,4,0.4,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,pH,,0 cm - 5 cm,7.14%,Increase,4.5,14,0.2,4.2,4,0.1,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,pH,,5 cm - 10 cm,2.27%,Increase,4.5,14,0.3,4.4,4,0.2,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,pH,,10 cm - 20 cm,5.33%,Increase,4.74,14,0.2,4.5,4,0.1,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Ca,ueq/g dw,humus,126.67%,Increase,204,14,64,90,4,11,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Ca,ueq/g dw,0 cm - 5 cm,118.18%,Increase,24,14,16,11,4,14,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Ca,ueq/g dw,5 cm - 10 cm,140.74%,Increase,13,14,12,5.4,4,5.8,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,Ca,ueq/g dw,10 cm - 20 cm,90.32%,Increase,5.9,14,3.2,3.1,4,1.7,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,K,ueq/g dw,humus,-18.00%,Decrease,8.2,14,2.5,10,4,4.3,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,K,ueq/g dw,0 cm - 5 cm,-12.50%,Decrease,1.4,14,0.4,1.6,4,0.3,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,K,ueq/g dw,5 cm - 10 cm,-15.38%,Decrease,1.1,14,0.2,1.3,4,0.1,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,K,ueq/g dw,10 cm - 20 cm,0.00%,Decrease,1,14,0.2,1,4,0.2,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,base saturation,%,humus,48.28%,Increase,86,14,15,58,4,27,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,Y,0.05,biogeochemical,Soil,base saturation,%,0 cm - 5 cm,145.00%,Increase,49,14,20,20,4,12,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,base saturation,%,5 cm - 10 cm,113.33%,Increase,32,14,18,15,4,7,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,base saturation,%,10 cm - 20 cm,40.00%,Increase,21,14,9,15,4,7,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,N,ueq/g dw,humus,0.00%,Decrease,10,14,3.3,10,4,4,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,N,ueq/g dw,0 cm - 5 cm,-20.00%,Decrease,1.6,14,0.7,2,4,1.2,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,N,ueq/g dw,5 cm - 10 cm,-14.29%,Decrease,1.2,14,0.5,1.4,4,0.7,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,N,ueq/g dw,10 cm - 20 cm,18.18%,Increase,1.3,14,0.5,1.1,4,0.4,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,C,ueq/g dw,humus,-5.83%,Decrease,291,14,86,309,4,100,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,C,ueq/g dw,0 cm - 5 cm,-24.56%,Decrease,43,14,17,57,4,32,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,C,ueq/g dw,5 cm - 10 cm,-17.95%,Decrease,32,14,13,39,4,19,Europe,Sweden
Lofgren et al 2009,Forest,Liming,300 g/m2 of lime,,16,N,0.05,biogeochemical,Soil,C,ueq/g dw,10 cm - 20 cm,10.34%,Increase,32,14,11,29,4,11,Europe,Sweden
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0,biogeochemical,Soil,Ca,t/ha,sandstone organic layer,272.82%,Increase,0.0384,21,0.0279,0.0103,21,0.0067,Europe,France
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0,biogeochemical,Soil,Mg,t/ha,sandstone organic layer,155.56%,Increase,0.0046,21,0.0037,0.0018,21,0.0011,Europe,France
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0,biogeochemical,Soil,Ca,t/ha,granite organic layer,-11.41%,Decrease,0.0435,21,0.0278,0.0491,21,0.0246,Europe,France
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0,biogeochemical,Soil,Mg,t/ha,granite organic layer,-19.35%,Decrease,0.005,21,0.0035,0.0062,21,0.0029,Europe,France
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0,biogeochemical,Soil,pH,,sandstone bedrock,19.28%,Increase,3.96,21,0.58,3.32,21,0.08,Europe,
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0,biogeochemical,Soil,pH,,sandstone bedrock,25.24%,Increase,3.92,21,0.59,3.13,21,0.25,Europe,
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0.05,biogeochemical,Soil,pH,,granite bedrock,15.65%,Increase,3.99,21,0.34,3.45,21,0.11,Europe,
Rizvi et al 2012,Mixed Forest,Liming,250 g lime/m2,,7,Y,0.05,biogeochemical,Soil,pH,,granite bedrock,8.13%,Increase,3.59,21,0.2,3.32,21,0.07,Europe,
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,density,seedlings/ha,tree seedling,254.93%,Increase,2662,84,699,750,56,463,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,density,seedlings/ha,tree seedling,364.93%,Increase,3487,72,987,750,56,463,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,density,seedlings/ha,tree seedling,320.00%,Increase,3150,24,1327,750,56,463,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,density,seedlings/ha,tree seedling,658.27%,Increase,5687,28,1702,750,56,463,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,density,seedlings/ha,tree seedling,291.60%,Increase,2937,16,947,750,56,463,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,tree seedling,142.86%,Increase,1.7,84,0.2,0.7,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,tree seedling,128.57%,Increase,1.6,72,0.2,0.7,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,tree seedling,114.29%,Increase,1.5,24,0.3,0.7,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,tree seedling,171.43%,Increase,1.9,28,0.3,0.7,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,tree seedling,214.29%,Increase,2.2,16,0.6,0.7,56,0.1,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,cover,%,native,58.82%,Increase,81,28,,51,56,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,native,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.04,community composition,Plant,density,Species per 80m^2 area,native,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.04,community composition,Plant,density,Species per 80m^2 area,native,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.04,community composition,Plant,density,Species per 80m^2 area,native,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.03,community composition,Plant,cover,%,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.01,community composition,Plant,cover,%,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.02,community composition,Plant,cover,%,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Thinning to 200 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  300 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  200 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Ares et al 2010,Coniferous Forest,Thinning,Variable Thinning to  100 trees/ha,,11,N,0.05,community composition,Plant,species richness,Species per 80m^2 area,N-fixing,#DIV/0!,Increase,,,,,,,PNW,Oregon
Boerner et al. 2008,Forest,Prescribed Burn,,,,,,biogeochemical,Plant,C,%,,-5.70%,Decrease,,36,,,36,,U.S.,multiple
Boerner et al. 2008,Forest,Thinning,,,,,,biogeochemical,Plant,C,%,,-27.40%,Decrease,,36,,,36,,U.S.,multiple
Boerner et al. 2008,Forest,Prescribed Burn,,,,,,biogeochemical,Ground cover,C,%,litter,-38.30%,Decrease,,36,,,36,,U.S.,multiple
Boerner et al. 2008,Forest,Thinning,,,,,,biogeochemical,Ground cover,C,%,litter,19.80%,Increase,,36,,,36,,U.S.,multiple
Boerner et al. 2008,Forest,Prescribed Burn,,,1,Y,,biogeochemical,Plant,N,%,litter,-36.00%,Decrease,,36,,,36,,U.S.,multiple
Boerner et al. 2008,Forest,Thinning,,,,N,,biogeochemical,Plant,N,%,litter,,No change,,36,,,36,,U.S.,multiple
Boerner et al. 2008,Forest,Prescribed Burn,,,4,N,,biogeochemical,Plant,N,%,litter,,No change,,36,,,36,,U.S.,multiple
Boerner et al. 2008,Forest,Prescribed Burn,,,4,N,,biogeochemical,Plant,N,%,mineral soil,,No change,,,,,,,,
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,pH,,,-1.22%,Decrease,5.68,8,0.03,5.75,8,0.05,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,Y,Not listed,biogeochemical,Soil,ammonium,ug/g,,-31.76%,Decrease,10.1,8,1.7,14.8,8,1.6,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,nitrate N,ug/g,,0.84%,Increase,12,8,1.5,11.9,8,1.7,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,N mineralization,ug/g/month,,-69.23%,Decrease,4,8,3,13,8,5,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,nitrification,ug/g/month,,-66.67%,Decrease,6,8,2,18,8,4,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,pH,,,-0.40%,Decrease,5.03,8,0.06,5.05,8,0.03,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,Y,Not listed,biogeochemical,Soil,ammonium,ug/g,,-37.11%,Decrease,6.1,8,0.9,9.7,8,0.7,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,nitrate N,ug/g,,-16.31%,Decrease,11.8,8,1.3,14.1,8,2.1,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,N mineralization,ug/g/month,,-47.62%,Decrease,11,8,6,21,8,9,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Soil,nitrification,ug/g/month,,-60.00%,Decrease,8,8,6,20,8,9,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,N,%,,-6.86%,Decrease,1.63,8,0.03,1.75,8,0.12,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,K,%,,-3.67%,Decrease,1.05,8,0.08,1.09,8,0.22,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,Ca,%,,-4.63%,Decrease,1.03,8,0.19,1.08,8,0.23,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,Mg,%,,-5.26%,Decrease,0.18,8,0.01,0.19,8,0.01,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,Mn,mg/kg,,28.13%,Increase,82,8,17,64,8,8,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,N,%,,-9.94%,Decrease,1.54,8,0.03,1.71,8,0.08,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,K,%,,-17.27%,Decrease,0.91,8,0.12,1.1,8,0.07,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,Ca,%,,-6.72%,Decrease,1.11,8,0.06,1.19,8,0.09,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,Mg,%,,10.00%,Increase,0.22,8,0.01,0.2,8,0.06,NE,Massachussetts
"Cassidy et al, 2004",Forest,Carbon Addition,1600 g/m2 of sawdust+sucrose,,,N,Not listed,biogeochemical,Plant,Mn,mg/kg,,-4.65%,Decrease,123,8,20,129,8,12,NE,Massachussetts
Boerner et al. 2008,Forest,Prescribed Burn,,,3,N,Not listed,biogeochemical,Soil,inorganic N,%,,,No change,,36,,,36,,U.S.,multiple
Boxman et al 2006,Forest,Liming,300 g/m2,,3,Y,Not listed,biogeochemical,Soil,Ca,uM,soil solution,,Increase,,,,,,,,
Boxman et al 2006,Forest,Liming,300 g/m2,,3,Y,Not listed,biogeochemical,Soil,Mg,uM,soil solution,,Increase,,,,,,,,
Boxman et al 2006,Forest,Liming,300 g/m2,,3,N,Not listed,biogeochemical,Soil,N,uM,soil solution,,No change,,,,,,,,
Boxman et al 2006,Forest,Liming,300 g/m2,,3,N,Not listed,biogeochemical,Soil,K,uM,soil solution,,No change,,,,,,,,
Boxman et al 2006,Forest,Topsoil Removal,removal of litter and humus,,3,Y,Not listed,biogeochemical,Soil,ammonium,uM,soil solution,,Decrease,,,,,,,,
Boxman et al 2006,Forest,Topsoil Removal,removal of litter and humus,,3,Y,Not listed,biogeochemical,Soil,nitrate,uM,soil solution,,Decrease,,,,,,,,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Ground cover,cover,%,litter,-52.63%,Decrease,9,12,,19,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial Burn,40,0.75,N,0.05,community composition,Ground cover,cover,%,litter,-21.05%,Decrease,15,12,,19,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Ground cover,cover,%,litter,-42.11%,Decrease,11,12,,19,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Biennial Burn,40,0.75,N,0.05,community composition,Plant,biomass,kg/ha,understory,3913.33%,Increase,602,12,,15,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Triennial Burn,40,0.75,N,0.05,community composition,Plant,biomass,kg/ha,understory,1793.33%,Increase,284,12,,15,12,,SE,
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,biomass,kg/ha,understory,1346.67%,Increase,217,12,,15,12,,SE,
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,N,0.05,biogeochemical,Soil,pH,,,1.14%,Increase,7.08,42,0.34,7,42,0.28,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,Y,0.05,biogeochemical,Soil,conductivity,uS/cm,,57.57%,Increase,198.52,42,95.28,125.99,42,47.49,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,Y,0.05,biogeochemical,Soil,C,%,,19.42%,Increase,6.95,42,2.8,5.82,42,2.01,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,Y,0.05,biogeochemical,Soil,N,%,,55.88%,Increase,0.53,42,0.14,0.34,42,0.1,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,Y,0.05,biogeochemical,Soil,P,ppm,,10.32%,Increase,86.35,42,9.4,78.27,42,8.94,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,Y,0.05,biogeochemical,Soil,Ca,ppm,,28.82%,Increase,5224.68,42,1933.61,4055.93,42,1196.32,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,Y,0.05,biogeochemical,Soil,Mg,ppm,,28.44%,Increase,361.49,42,140.35,281.45,42,81.74,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,0,Y,0.05,biogeochemical,Soil,K,ppm,,16.31%,Increase,457.38,42,148.77,393.25,42,73.63,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,Y,0.05,biogeochemical,Soil,pH,,,2.86%,Increase,7.2,42,0.45,7,42,0.28,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,Y,0.05,biogeochemical,Soil,conductivity,uS/cm,,-16.92%,Decrease,104.67,42,31.59,125.99,42,47.49,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,Y,0.05,biogeochemical,Soil,C,%,,29.73%,Increase,7.55,42,1.86,5.82,42,2.01,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,Y,0.05,biogeochemical,Soil,N,%,,52.94%,Increase,0.52,42,0.12,0.34,42,0.1,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,Y,0.05,biogeochemical,Soil,P,ppm,,-33.33%,Decrease,52.18,42,15.67,78.27,42,8.94,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,Y,0.05,biogeochemical,Soil,Ca,ppm,,24.66%,Increase,5056.11,42,2003.61,4055.93,42,1196.32,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,N,0.05,biogeochemical,Soil,Mg,ppm,,9.79%,Increase,309.01,42,91.18,281.45,42,81.74,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,1,N,0.05,biogeochemical,Soil,K,ppm,,-3.66%,Decrease,378.86,42,78.31,393.25,42,73.63,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,Y,0.05,biogeochemical,Soil,pH,,,-4.57%,Decrease,6.68,42,0.4,7,42,0.28,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,N,0.05,biogeochemical,Soil,conductivity,uS/cm,,31.38%,Increase,165.53,42,51.42,125.99,42,47.49,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,Y,0.05,biogeochemical,Soil,C,%,,-7.39%,Decrease,5.39,42,1.5,5.82,42,2.01,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,Y,0.05,biogeochemical,Soil,N,%,,-5.88%,Decrease,0.32,42,0.08,0.34,42,0.1,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,Y,0.05,biogeochemical,Soil,P,ppm,,-21.26%,Decrease,61.63,42,45.88,78.27,42,8.94,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,N,0.05,biogeochemical,Soil,Ca,ppm,,48.73%,Increase,6032.24,42,2415.42,4055.93,42,1196.32,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,N,0.05,biogeochemical,Soil,Mg,ppm,,13.86%,Increase,320.46,42,73.72,281.45,42,81.74,Europe,Spain
Alcaniz et al 2016,Forest,Prescribed Burn,Flame height did not exceed 2.5m,,9,N,0.05,biogeochemical,Soil,K,ppm,,5.08%,Increase,413.23,42,89.74,393.25,42,73.63,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,soil water content,%,0 cm - 1 cm,-25.50%,Decrease,74.5,3,29,100,3,32,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,SOC,g/kg,0 cm - 1 cm,-44.53%,Decrease,147,3,24,265,3,40,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,N,g/kg,0 cm - 1 cm,-23.92%,Decrease,15.9,3,3,20.9,3,2.9,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,C:N,ratio,0 cm - 1 cm,-26.77%,Decrease,9.3,3,0.9,12.7,3,1.8,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,N,0.05,biogeochemical,Soil,C loss,% of SOC,0 cm - 1 cm,-17.80%,Decrease,7.25,3,1.2,8.82,3,2.2,Europe,Spain
Armas-Herrera et al 2016,Forest,Prescribed Burn,low-moderate intensity,,,Y,0.05,biogeochemical,Soil,C-CO2 efflux,mg/kg/day (average 141 days),0 cm - 1 cm,-53.69%,Decrease,76,3,19,164.1,3,44.5,Europe,Spain
